7018	óleo	o óleo	/ˈɔ.lɐ̃w̃/	/ˈɔ.le.u/	sm		oil						aceite (no de aceituna)							huile					Öl					oli					olio
7019	manjericão	o manjericão	/mɐ̃.ʒe.ɾi.ˈkɐ̃w̃/	/mɐ̃.ʒe.ɾi.ˈkɐ̃w̃/	sm		basil						albahaca							basilic					Basilikum					basilic					basilico
7020	anis	o anis	/ɐ.ˈniʃ/	/ɐ.ˈnis/	sm		anise						anís							anis					Anis					anís					anice
7021	açafrão	o açafrão	/ɐ.ˈsa.fɾɐ̃w̃/	/ɐ.ˈsa.fɾɐ̃w̃/	sm		saffron						azafrán							safran					Safran					safrà					saffron
7022	canela	a canela	/sɐ.ˈne.lɐ/	/sɐ.ˈne.lɐ/	sf		cinnamon						canela							cannelle					Zimt					canella					cannella
7023	cebolinho	o cebolinho	/sɨ.bɔ.ˈʎi.ɲu/	/sɨ.bɔ.ˈʎi.ɲu/	sm		chive						cebollino							ciboulette					Schnittlauch					cibulet					cipollotto
7024	coentro	o coentro	/kwẽ.ˈtɾu/	/kwẽ.ˈtɾu/	sm		coriander						cilantro							coriandre					Koriander					coriant					coriandolo
7025	cravo, cravinho	o cravo, o cravinho	/ˈkɾa.vu/, /kɾɐ.ˈvi.ɲu/	/ˈkɾa.vu/, /kɾɐ.ˈvi.ɲu/	sm		clove						clavo							clou de girofle					Nelke					clau de clavell					chiodo di garofano
7026	cominho	o cominho	/ku.ˈmi.ɲu/	/ku.ˈmi.ɲu/	sm		cumin						comino							cumin					Kreuzkümmel					cumí					comino
7027	caril	o caril	/kɐ.ˈɾiɫ/	/kɐ.ˈɾiɫ/	sm		curry						curry							cari					Karri					carri					curry
7028	estragão	o estragão	/ɨʃ.tɾɐ.ˈɡɐ̃w̃/	/is.tɾɐ.ˈɡɐ̃w̃/	sm		tarragon						estragón							estragon					Estragon					estragó					estragone
7029	gengibre	o gengibre	/ʒẽ.ˈʒi.bɾi/	/ʒẽ.ˈʒi.bɾi/	sm		ginger						jengibre							gingembre					Ingwer					ginjoler					zenzero
7030	hortelã-pimenta	a hortelã-pimenta	/uɾ.tɨ.ˈlɐ̃w̃.pi.ˈmẽ.tɐ/	/uɾ.tɨ.ˈlɐ̃w̃.pi.ˈmẽ.tɐ/	sf		peppermint						hierbabuena							menthe poivrée					Pfefferminze					menta pebre					menta piperita
7031	malagueta	a malagueta	/ˌma.lɐ.ˈɡe.tɐ/	/ˌma.lɐ.ˈɡe.tɐ/	sf		chili						guindilla							piment fort					Schote					xili					peperoncino
7032	louro	o louro	/ˈlow.ɾu/	/ˈlow.ɾu/	sm		bay leaf						laurel							laurier					Lorbeer					llorer					alloro
7033	lavanda / alfazema	a lavanda / a alfazema	/lɐ.ˈvɐ̃w̃.dɐ/, /ɐɫ.fa.ˈze.mɐ/	/lɐ.ˈvɐ̃w̃.dɐ/, /al.fa.ˈze.mɐ/	sfp		lavender						lavanda / alhucema							lavande					Lavendel					lavanda					lavanda
7034	menta / hortelã	a menta / a hortelã	/ˈmẽ.tɐ/, /uɾ.tɨ.ˈlɐ̃w̃/	/ˈmẽ.tɐ/, /uɾ.tɨ.ˈlɐ̃w̃/	sf		mint						menta							menthe					Pfefferminze					menta					menta
